Date,Price,Open,High,Low,Vol.,Change %
03-Sep-15,"18,182.39","18,359.53","18,481.57","18,176.75",143.05K,0.48%
04-Sep-15,"17,792.16","18,312.13","18,312.13","17,608.17",171.13K,-2.15%
07-Sep-15,"17,860.47","17,674.82","18,013.64","17,478.72",164.65K,0.38%
08-Sep-15,"17,427.08","17,941.91","17,962.56","17,415.61",154.87K,-2.43%
09-Sep-15,"18,770.51","17,758.13","18,770.51","17,756.76",201.74K,7.71%
10-Sep-15,"18,299.62","18,418.64","18,420.56","17,956.15",172.65K,-2.51%
11-Sep-15,"18,264.22","18,155.71","18,362.99","18,124.35",2.01B,-0.19%
14-Sep-15,"17,965.70","18,341.01","18,344.07","17,925.09",1.27B,-1.63%
15-Sep-15,"18,026.48","18,082.72","18,329.57","17,995.98",1.46B,0.34%
16-Sep-15,"18,171.60","18,238.15","18,291.97","18,094.99",1.26B,0.81%
17-Sep-15,"18,432.27","18,361.99","18,468.20","18,289.63",1.31B,1.43%
18-Sep-15,"18,070.21","18,275.48","18,295.90","18,069.50",1.72B,-1.96%
24-Sep-15,"17,571.83","17,803.41","17,865.84","17,571.83",1.68B,-2.76%
25-Sep-15,"17,880.51","17,618.30","17,880.51","17,483.69",1.85B,1.76%
28-Sep-15,"17,645.11","17,811.12","17,886.49","17,562.60",1.31B,-1.32%
29-Sep-15,"16,930.84","17,359.38","17,366.95","16,901.49",2.06B,-4.05%
30-Sep-15,"17,388.15","17,193.84","17,460.97","17,179.40",1.57B,2.70%
01-Oct-15,"17,722.42","17,479.97","17,831.58","17,389.57",1.61B,1.92%
02-Oct-15,"17,725.13","17,564.39","17,775.77","17,537.85",1.25B,0.02%
05-Oct-15,"18,005.49","17,921.00","18,079.46","17,869.74",1.21B,1.58%
06-Oct-15,"18,186.10","18,302.41","18,372.72","18,094.85",1.48B,1.00%
07-Oct-15,"18,322.98","18,168.20","18,379.23","18,043.08",1.61B,0.75%
08-Oct-15,"18,141.17","18,310.62","18,400.69","18,121.68",1.58B,-0.99%
09-Oct-15,"18,438.67","18,281.51","18,438.67","18,184.96",1.85B,1.64%
13-Oct-15,"18,234.74","18,335.15","18,359.71","18,223.80",1.44B,-1.11%
14-Oct-15,"17,891.00","18,106.66","18,126.39","17,831.53",1.45B,-1.89%
15-Oct-15,"18,096.90","17,804.91","18,170.67","17,758.12",1.32B,1.15%
16-Oct-15,"18,291.80","18,300.83","18,397.52","18,238.78",1.30B,1.08%
19-Oct-15,"18,131.23","18,282.78","18,314.09","18,078.43",1.21B,-0.88%
20-Oct-15,"18,207.15","18,245.54","18,253.13","18,147.98",1.19B,0.42%
21-Oct-15,"18,554.28","18,167.64","18,605.41","18,167.64",1.43B,1.91%
22-Oct-15,"18,435.87","18,443.69","18,579.14","18,376.01",1.24B,-0.64%
23-Oct-15,"18,825.30","18,762.65","18,915.64","18,746.61",1.48B,2.11%
26-Oct-15,"18,947.12","19,036.13","19,088.76","18,937.45",1.22B,0.65%
27-Oct-15,"18,777.04","18,961.16","18,964.99","18,760.79",1.23B,-0.90%
28-Oct-15,"18,903.02","18,826.94","18,925.51","18,815.12",1.10B,0.67%
29-Oct-15,"18,935.71","19,046.16","19,080.89","18,809.48",1.78B,0.17%
