Date,Price,Open,High,Low,Vol.,Change %
16-Mar-15,"6,804.08","6,740.58","6,809.08","6,740.58",706.94M,0.94%
17-Mar-15,"6,837.61","6,804.08","6,846.90","6,798.47",780.79M,0.49%
18-Mar-15,"6,945.20","6,837.61","6,945.20","6,837.26",796.53M,1.57%
19-Mar-15,"6,962.32","6,945.20","6,982.79","6,929.73",834.20M,0.25%
20-Mar-15,"7,022.51","6,962.32","7,024.21","6,960.81",1.46B,0.86%
23-Mar-15,"7,037.67","7,022.51","7,037.67","6,991.43",694.42M,0.22%
24-Mar-15,"7,019.68","7,037.67","7,065.08","7,012.51",722.19M,-0.26%
25-Mar-15,"6,990.97","7,019.68","7,035.11","6,983.94",665.75M,-0.41%
26-Mar-15,"6,895.33","6,990.97","6,990.97","6,876.84",965.48M,-1.37%
27-Mar-15,"6,855.02","6,895.33","6,910.55","6,839.88",759.28M,-0.58%
30-Mar-15,"6,891.43","6,855.02","6,914.60","6,855.02",659.07M,0.53%
31-Mar-15,"6,773.04","6,891.43","6,910.07","6,765.05",928.18M,-1.72%
01-Apr-15,"6,809.50","6,773.04","6,856.43","6,765.40",809.44M,0.54%
02-Apr-15,"6,833.46","6,809.50","6,849.91","6,801.27",593.71M,0.35%
07-Apr-15,"6,961.77","6,833.46","6,967.69","6,833.46",725.88M,1.88%
08-Apr-15,"6,937.41","6,961.77","7,012.06","6,931.59",892.29M,-0.35%
09-Apr-15,"7,015.36","6,937.41","7,016.99","6,937.41",720.21M,1.12%
10-Apr-15,"7,089.77","7,015.36","7,095.36","7,015.36",826.73M,1.06%
13-Apr-15,"7,064.30","7,089.77","7,089.84","7,046.68",610.97M,-0.36%
14-Apr-15,"7,075.26","7,064.30","7,086.06","7,044.60",690.65M,0.16%
15-Apr-15,"7,096.78","7,075.26","7,111.72","7,058.34",744.94M,0.30%
16-Apr-15,"7,060.45","7,096.78","7,119.35","7,057.74",773.86M,-0.51%
17-Apr-15,"6,994.63","7,060.45","7,093.52","6,979.32",800.54M,-0.93%
20-Apr-15,"7,052.13","6,994.63","7,067.84","6,994.63",601.95M,0.82%
21-Apr-15,"7,062.93","7,052.13","7,105.13","7,030.00",676.07M,0.15%
